company_id,year,total_assets,total_liabilities
LICI,Sep 2024,5719121,5719121
LICI,Mar 2024,5316047,5316047
LICI,Mar 2023,4578491,4578491
LICI,Mar 2022,4254059,4254059
HDFCBANK,Mar 2024,4030194,4030194
LICI,Mar 2021,3829524,3829524
LICI,Mar 2020,3499834,3499834
LICI,Mar 2019,3427249,3427249
HDFCBANK,Mar 2023,2530432,2530432
ICICIBANK,Mar 2024,2364063,2364063
HDFCBANK,Mar 2022,2122934,2122934
ICICIBANK,Mar 2023,1958490,1958490
RELIANCE,Sep 2024,1815123,1815123
HDFCBANK,Mar 2021,1799507,1799507
RELIANCE,Mar 2024,1755048,1755048
ICICIBANK,Mar 2022,1752637,1752637
BANKBARODA,Mar 2024,1654775,1654775
RELIANCE,Mar 2023,1605882,1605882
HDFCBANK,Mar 2020,1580830,1580830
ICICIBANK,Mar 2021,1573812,1573812
